Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",138.550000,-94.350000,90.000000,top
"C2","100nF","C_0603_1608Metric",140.375000,-94.350000,90.000000,top
"C3","100nF","C_0603_1608Metric",126.535000,-94.300000,90.000000,top
"C4","10uF","C_0603_1608Metric",128.325000,-94.300000,90.000000,top
"D1","LED","LED_0603_1608Metric",142.340000,-92.650000,-90.000000,top
"J1","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",145.500000,-95.775000,180.000000,top
"J2","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",123.450000,-95.775000,180.000000,top
"R1","1K","R_0603_1608Metric",142.300000,-96.175000,90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",133.475000,-94.350000,90.000000,top
